d
ver=V2.1CXR
Recint=10
Mem 4000, 0, 237
Memi 4049, 3460, 3697
Start 4001, 374277077
Finish 4002, 374277548
MaxD 4003, 10.03
Status 4004, 0
OTU 4005, 41
Descend prob 4006, 0
Gas 4010, 79, 0, 660, 1
Gas 4011, 40, 50, 1100, 0
Gas 4012, 60, 25, 700, 0
Gas 4013, 1, 0, 60, 0
Gas 4014, 68, 0, 400, 0
Gas 4015, 64, 0, 344, 0
Gas 4016, 50, 0, 220, 0
Gas 4017, 20, 0, 100, 0
Gas 4018, 79, 0, 660, 0
Gas 4019, 79, 0, 660, 0
Tissue 4020, 79, 0
Tissue 4021, 79, 0
Tissue 4022, 78, 0
Tissue 4023, 78, 0
Tissue 4024, 78, 0
Tissue 4025, 78, 0
Tissue 4026, 78, 0
Tissue 4027, 78, 0
Tissue 4028, 78, 0
Tissue 4029, 78, 0
Tissue 4030, 78, 0
Tissue 4031, 78, 0
Tissue 4032, 78, 0
Tissue 4033, 78, 0
Tissue 4034, 78, 0
Tissue 4035, 78, 0
Profile
R0000,0010,0000,0038,M0000,T0035,A000088,B013333,C012335,D001229,E045333,F001339,G021333,H001449
R0244,0090,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0245,0088,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0246,0088,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0247,0087,0000,0001,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0248,0087,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0249,0087,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0250,0087,0000,0002,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0251,0086,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0252,0086,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0253,0085,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0254,0085,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0255,0085,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0256,0084,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0257,0081,0000,0001,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0258,0080,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0259,0074,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0260,0064,0000,0001,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0261,0058,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0262,0054,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
End
